carYear,price,hasAccidents,fuelType,mileage
2014,12895,FALSE,2,81974
2013,11895,FALSE,2,88022
2013,19178,TRUE,2,37393
2014,16990,FALSE,2,25453
2013,15999,TRUE,2,48296
2013,13381,FALSE,2,96340
2013,18990,TRUE,2,69756
2013,12995,FALSE,2,80000
2013,18195,FALSE,2,38300
2013,12900,FALSE,2,74460
2013,13475,FALSE,2,79231
2013,12980,FALSE,2,89414
2013,12988,TRUE,2,67132
2013,11995,FALSE,2,92564
2013,15750,FALSE,2,47987
2013,17377,TRUE,2,31432
2014,16997,FALSE,2,37477
2014,13977,FALSE,2,61095
2013,22777,FALSE,2,41505
2013,20786,FALSE,2,49589
2013,16433,FALSE,2,61358
2014,22995,FALSE,2,48817
2014,15999,TRUE,2,65023
2013,14599,TRUE,2,56195
2013,14268,TRUE,2,59975
2014,15299,FALSE,2,24201
2014,18999,FALSE,2,44894
2014,15899,TRUE,0,52454
2014,14999,FALSE,2,57277
2014,22498,FALSE,2,48862
2013,20999,TRUE,2,35238
2013,20995,FALSE,2,38973
2013,18189,FALSE,2,44821
2014,13995,FALSE,2,95583
2013,16995,FALSE,2,71019
2013,21999,FALSE,2,34764
2014,19001,FALSE,0,54390
2013,16397,FALSE,2,50422
2013,12500,TRUE,2,12761
2013,15995,FALSE,2,47655
2014,13900,FALSE,2,65101
2013,12995,TRUE,2,79375
2014,15888,FALSE,2,38261
2014,14995,FALSE,2,46400
2014,16925,FALSE,2,46224
2014,16212,FALSE,2,44350
2013,15500,FALSE,2,68681
2013,19495,FALSE,2,69150
2013,17995,FALSE,2,85200
2013,22975,FALSE,2,50995
2013,16990,TRUE,2,39635
2014,21395,FALSE,2,41930
2014,16495,TRUE,2,59921
2013,18000,FALSE,2,47214
2013,18995,FALSE,2,22387
2013,17395,FALSE,2,35796
2013,16795,FALSE,2,44987
2014,23495,FALSE,2,54995
2014,15995,FALSE,2,61178
2014,15899,FALSE,2,24738
2014,15499,FALSE,2,41636
2014,14975,TRUE,2,77961
2014,19961,FALSE,2,48886
2014,15695,FALSE,2,67119
2013,13888,FALSE,2,83674
2013,15985,FALSE,2,56052
2013,17983,FALSE,2,32929
2014,17999,FALSE,2,56158
2013,14295,TRUE,2,68551
2014,19995,FALSE,2,31895
2014,14995,FALSE,2,51649
2013,12988,TRUE,2,64503
2013,13988,FALSE,2,80939
2014,14995,TRUE,2,49609
2013,13999,FALSE,2,73758
2013,16999,FALSE,2,36984
2013,15995,FALSE,2,53373
2013,15995,TRUE,2,63344
2013,11595,FALSE,2,103619
2013,12995,TRUE,2,76894
2013,14999,TRUE,2,79771
2014,12900,FALSE,2,45250
2013,14900,FALSE,2,78022
2013,15889,FALSE,2,70406
2014,19000,TRUE,2,49750
2013,12994,TRUE,2,77062
2013,12699,FALSE,2,93736
2013,15989,FALSE,2,68862
2013,15999,TRUE,2,64336
2014,15899,TRUE,2,30748
2014,11750,TRUE,2,91702
2014,22750,TRUE,2,28382
2014,19999,TRUE,2,45372
2013,14750,FALSE,2,62059
2014,19995,FALSE,2,73461
2013,18495,FALSE,2,36117
2013,13499,FALSE,2,95907
2014,14600,TRUE,2,49738
2013,17031,FALSE,2,29142
2014,19995,FALSE,2,31984
2014,19482,FALSE,2,39663
2013,17992,FALSE,2,47622
2013,14895,FALSE,2,49691
2014,11995,TRUE,2,83341
2013,21998,FALSE,2,34637
2013,13900,FALSE,2,60956
2013,18995,FALSE,2,36755
2014,15299,TRUE,2,45039
2014,21700,FALSE,2,49524
2014,14391,TRUE,2,64390
2014,20874,TRUE,2,68432
2014,10998,FALSE,0,80880
2013,10942,TRUE,2,99592
2013,16999,FALSE,2,51000
2013,16995,TRUE,2,57676
2013,21995,FALSE,2,24679
2014,16995,FALSE,2,50750
2013,16495,TRUE,2,54053
2014,15650,FALSE,2,48100
2014,17319,FALSE,2,46138
2013,14785,FALSE,2,46743
2014,15785,FALSE,2,70292
2013,21777,FALSE,2,38882
2013,19777,FALSE,2,58230
2013,13480,FALSE,2,86116
2013,17988,TRUE,2,28326
2013,17588,FALSE,2,34870
2013,18995,FALSE,2,92670
2014,18392,FALSE,2,41164
2013,15995,FALSE,2,50553
2013,21278,FALSE,2,48335
2013,12295,TRUE,2,100784
2014,15750,FALSE,2,60278
2014,26995,FALSE,2,30053
2013,12995,FALSE,2,86398
2014,16153,TRUE,2,61731
2014,16404,TRUE,2,67310
2013,15023,FALSE,2,81625
2013,14560,FALSE,2,88069
2013,21798,FALSE,2,40214
2014,14799,TRUE,2,25307
2013,12875,FALSE,2,96646
2014,13875,FALSE,2,114607
2014,18995,FALSE,2,48610
2013,20982,FALSE,2,45135
2013,14092,TRUE,2,54937
2013,17999,FALSE,2,39336
2013,23999,FALSE,2,18826
2013,16912,FALSE,2,46207
2013,15500,FALSE,2,65337
2013,13910,FALSE,2,63789
2014,19373,FALSE,2,71700
2013,23598,FALSE,2,18697
2013,17600,TRUE,2,23270
2014,24199,FALSE,2,75631
2014,18599,FALSE,2,63807
2013,17386,FALSE,2,40135
2013,23995,FALSE,2,45454
2014,25788,FALSE,0,36171
2013,21888,FALSE,2,46827
2013,15490,TRUE,2,60644
2013,19993,FALSE,2,49689
2013,11880,FALSE,2,108804
2014,17955,FALSE,2,35797
2014,22324,TRUE,2,46090
2013,14995,FALSE,2,73201
2013,11995,FALSE,2,86648
2013,13663,FALSE,2,74172
2013,13995,TRUE,2,72781
2013,19995,FALSE,2,74501
2013,15997,FALSE,2,65450
2014,21249,FALSE,2,47532
2014,13495,FALSE,2,96134
2013,16199,TRUE,2,59706
2013,15975,FALSE,2,37708
2013,19798,FALSE,2,28062
2014,19698,FALSE,0,47354
2013,14999,TRUE,2,38430
2014,17900,FALSE,2,51166
2014,16450,FALSE,2,43557
2014,22450,FALSE,2,54101
2013,11900,TRUE,2,79389
2014,19000,FALSE,2,97231
2013,15995,TRUE,2,59246
2014,15995,FALSE,2,53187
2013,14795,FALSE,2,60208
2013,13995,TRUE,2,65932
2014,19445,FALSE,2,32856
2014,17998,FALSE,2,32122
2013,13755,FALSE,2,84831
2014,16998,TRUE,2,49567
2013,16999,TRUE,2,53909
2013,18732,FALSE,2,83206
2014,14903,FALSE,2,87366
2014,14997,TRUE,2,42528
2013,12998,FALSE,2,63437
2014,21498,FALSE,2,51941
2013,11798,TRUE,2,74739
2014,10498,TRUE,2,85398
2014,20790,FALSE,2,77538
2014,16994,TRUE,0,86118
2013,15595,FALSE,2,64973
2013,13999,FALSE,2,79460
2013,7999,TRUE,2,122262
2013,13890,TRUE,2,58607
2014,15999,TRUE,2,35146
2013,13999,FALSE,2,78000
2014,13995,FALSE,2,112639
2014,16995,FALSE,2,127490
2013,21991,FALSE,2,34443
2014,18961,FALSE,2,41105
2014,15499,FALSE,2,57591
2014,19500,FALSE,2,83603
2013,20500,FALSE,2,57862
2013,15894,FALSE,2,51819
2013,14921,FALSE,2,108047
2013,16917,FALSE,2,61007
2014,17189,FALSE,2,37696
2014,18995,FALSE,2,44610
2014,15900,FALSE,2,65415
2013,22870,FALSE,2,32414
2014,19498,FALSE,2,55268
2013,18398,TRUE,2,66457
2013,19998,TRUE,2,41695
2014,16999,FALSE,2,39000
2013,16250,FALSE,2,42166
2014,22900,FALSE,2,50881
2014,13998,TRUE,2,60830
2014,24900,TRUE,2,33876
2014,22985,FALSE,2,56994
2013,13985,FALSE,2,89687
2013,17995,FALSE,2,75095
2013,17587,FALSE,2,76495
2014,16051,FALSE,2,46692
2013,15695,FALSE,2,47641
2013,12995,FALSE,2,51205
2014,9995,TRUE,2,95709
2013,11742,FALSE,2,89930
